WKT;Tipo;Nombre de la avenida;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-77.0347154 -11.9011843, -77.0344231 -11.9016488, -77.0339322 -11.9023627, -77.0336023 -11.9028929, -77.0331329 -11.9036553, -77.0325844 -11.9045056, -77.0320587 -11.9049728, -77.0314579 -11.9052248);Avenida;Avenida Micaela Bastidas;Perú;Lima;Lima;Carabayllo;150106;Micaela Bastidas Puyucahua
LINESTRING (-77.063761 -11.9247585, -77.0623394 -11.9255825, -77.0612075 -11.9260286, -77.0593192 -11.9269786, -77.0570716 -11.9281438, -77.055194 -11.929162, -77.0536866 -11.9299808, -77.0508864 -11.9314609, -77.0482954 -11.932857, -77.0469274 -11.9336075);Avenida;Avenida Micaela Bastidas;Perú;Lima;Lima;Comas;150110;Micaela Bastidas Puyucahua
LINESTRING (-76.9575437 -12.189589, -76.9573231 -12.1899436, -76.9570723 -12.190367, -76.956572 -12.1912138, -76.955923 -12.1922992, -76.9555287 -12.192973, -76.9546891 -12.1944018, -76.9539059 -12.1957021, -76.9534124 -12.1964572, -76.952243 -12.1984549, -76.9516368 -12.1994668, -76.9504995 -12.2012967, -76.9497968 -12.2025394, -76.9493951 -12.2031838, -76.9484952 -12.2046702, -76.9481519 -12.2052365, -76.9471943 -12.2068435, -76.9462582 -12.2084191, -76.9457593 -12.2092344, -76.9445336 -12.2112923, -76.9441128 -12.2119833, -76.9431579 -12.2135588, -76.9425705 -12.214513, -76.9416371 -12.2161134, -76.9411235 -12.2169667, -76.9392352 -12.2201177, -76.9381864 -12.2218321, -76.9372691 -12.2233945, -76.9365208 -12.2246082, -76.9355472 -12.2262229, -76.9347103 -12.227607, -76.9339217 -12.2289308, -76.9335114 -12.2296228, -76.9329481 -12.2305508, -76.9323701 -12.2314827);Avenida;Avenida Micaela Bastidas;Perú;Lima;Lima;Villa El Salvador;150142;Micaela Bastidas Puyucahua
LINESTRING (-77.1252294 -11.8678422, -77.12546 -11.8678474, -77.1260394 -11.8679577, -77.1269514 -11.8681414, -77.127756 -11.8682989);Avenida;Avenida Micaela Bastidas;Perú;Lima;Callao;Ventanilla (Callao);70106;Micaela Bastidas Puyucahua
LINESTRING (-76.9210954 -12.0393922, -76.9209613 -12.0395522, -76.9208379 -12.039804, -76.9205483 -12.0404756, -76.9204463 -12.0408061);Avenida;Avenida Micaela Bastidas;Perú;Lima;Lima;Ate;150103;Micaela Bastidas Puyucahua
LINESTRING (-76.9320664 -12.1990138, -76.9317673 -12.1988669, -76.9312054 -12.1985641, -76.9311766 -12.1985461);Avenida;Avenida Micaela Bastidas;Perú;Lima;Lima;Villa María del Triunfo;150143;Micaela Bastidas Puyucahua
LINESTRING (-77.115755 -12.0466504, -77.1164309 -12.0467134, -77.1167206 -12.0467579, -77.1169083 -12.046855, -77.1169781 -12.0469521, -77.1169673 -12.0470622, -77.1169137 -12.0475449, -77.116801 -12.0487384, -77.1167474 -12.0488328, -77.1165516 -12.048825, -77.1155324 -12.0487096);Avenida;Avenida Micaela Villegas;Perú;Lima;Callao;Callao;70101;María Micaela Villegas y Hurtado de Mendoza
LINESTRING (-77.0744442 -11.8824926, -77.0731031 -11.8824401, -77.071542 -11.8820516, -77.0701097 -11.8814637, -77.0689188 -11.8813482);Avenida;Avenida Rosa Luz;Perú;Lima;Lima;Puente Piedra;150125;Rosa Luz
LINESTRING (-77.0177887 -12.0402479, -77.0177297 -12.0399751, -77.0167211 -12.0391724, -77.0150796 -12.0379605, -77.0141355 -12.0372994, -77.013701 -12.0371368, -77.013583 -12.0369899, -77.0136205 -12.0368377);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Rímac;150128;Isabel Flores de Oliva
LINESTRING (-77.1159376 -12.0406143, -77.1158625 -12.041842, -77.1157177 -12.0448114, -77.1156158 -12.046039, -77.1153368 -12.0480431, -77.1151866 -12.0497901, -77.1149989 -12.0525758, -77.1150257 -12.05341, -77.1148486 -12.0565944, -77.1149921 -12.0567767, -77.1152215 -12.0568646, -77.1164419 -12.0571137);Avenida;Avenida Santa Rosa;Perú;Lima;Callao;Callao;70101;Isabel Flores de Oliva
LINESTRING (-77.1238004 -12.0735237, -77.1232264 -12.0725742, -77.1227329 -12.0716903, -77.1218371 -12.0700615, -77.1203779 -12.067533, -77.1198227 -12.0665599, -77.1194365 -12.0658727);Avenida;Avenida Santa Rosa;Perú;Lima;Callao;La Perla (Callao);70104;Isabel Flores de Oliva
LINESTRING (-76.9653823 -12.0420667, -76.9650819 -12.042712, -76.9647975 -12.0434622, -76.9642235 -12.0448997, -76.9639231 -12.0456971, -76.9636013 -12.0465418, -76.9631828 -12.047654, -76.9629683 -12.0482416, -76.9627161 -12.0489918, -76.9624318 -12.0497682, -76.9617988 -12.0512844, -76.9611229 -12.0530392);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;Santa Anita;150137;Isabel Flores de Oliva
LINESTRING (-77.1022271 -11.9992543, -77.1008538 -11.9968615, -77.099781 -11.9951194, -77.0979571 -11.99195, -77.0951032 -11.9870805, -77.0940732 -11.9853173);Avenida;Avenida Santa Rosa;Perú;Lima;Lima;San Martín de Porres;150135;Isabel Flores de Oliva
