WKT;Tipo;Nombre de las calles;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-76.9957582 -12.1422366, -76.9959275 -12.1421163, -76.9961266 -12.1419757, -76.9963469 -12.1418164, -76.9964549 -12.141743, -76.9965112 -12.1417023, -76.9969719 -12.1413949, -76.9970845 -12.1413162, -76.9973313 -12.1411464, -76.9979509 -12.1407223, -76.998435 -12.1403742, -76.9986516 -12.1402377, -76.9987844 -12.1401551, -76.9989299 -12.1400647, -76.9991451 -12.1399316, -76.9994127 -12.1397612, -76.9994844 -12.1397122);Calle;Calle Doña Rosa;Perú;Lima;Lima;Santiago de Surco;150140;Doña Rosa
LINESTRING (-76.9989865 -12.1399732, -76.9987237 -12.1395169, -76.998552 -12.1390869);Calle;Calle Doña Rosaura;Perú;Lima;Lima;Santiago de Surco;150140;Doña Rosaura
LINESTRING (-76.9998153 -12.1401518, -76.9995411 -12.1403917, -76.9991012 -12.1407306, -76.9985614 -12.1411272, -76.9982476 -12.1413331, -76.9973343 -12.1419506);Calle;Calle Doña Virginia;Perú;Lima;Lima;Santiago de Surco;150140;Doña Virginia
LINESTRING (-77.0812991 -12.027484, -77.0810014 -12.0268911);Calle;Calle Dora Mayer;Perú;Lima;Lima;San Martín de Porres;150135;Dora Mayer Loehts
LINESTRING (-77.117645 -12.0587065, -77.116556 -12.0584901);Calle;Calle Dora Mayer;Perú;Lima;Callao;Bellavista (Callao);70102;Dora Mayer Loehts
LINESTRING (-77.0737485 -11.9807298, -77.0733957 -11.98076, -77.0732268 -11.9807758, -77.0728459 -11.9808164, -77.0724637 -11.9808545);Calle;Calle Dora Mayer;Perú;Lima;Lima;Los Olivos;150117;Dora Mayer Loehts
LINESTRING (-77.0229811 -12.1579125, -77.0223334 -12.1576385, -77.0215032 -12.1573108, -77.0208528 -12.1570328, -77.0199824 -12.156654, -77.0193776 -12.1563852);Calle;Calle Elena Fray de Pastor;Perú;Lima;Lima;Chorrillos;150109;Elena Fray de Pastor
LINESTRING (-77.089389 -12.0213129, -77.08841 -12.0217983);Calle;Calle Elvira García y García;Perú;Lima;Lima;San Martín de Porres;150135;Elvira García y García Bert
LINESTRING (-77.0860664 -12.0231188, -77.0879667 -12.0221914, -77.0884308 -12.0219711, -77.0883718 -12.0218478, -77.086395 -12.0228105);Calle;Calle Elvira García y García;Perú;Lima;Lima;San Martín de Porres;150135;Elvira García y García Bert
LINESTRING (-77.0779769 -12.0513936, -77.0777837 -12.0514461, -77.0769308 -12.0517451, -77.0749138 -12.0524533, -77.0732562 -12.0530252, -77.0728699 -12.0530934, -77.0723979 -12.0531196, -77.0715932 -12.0530356, -77.0709709 -12.0529674, -77.0708905 -12.0528835, -77.0703111 -12.0528468, -77.0692865 -12.0527524, -77.0684939 -12.0526717, -77.0683048 -12.0526527, -77.0681265 -12.0526369, -77.0680996 -12.0527222, -77.068042 -12.052734, -77.0675927 -12.0526776, -77.0668953 -12.0525937);Calle;Calle Elvira García y García;Perú;Lima;Lima;Cercado de Lima;150101;Elvira García y García Bert
