WKT;Tipo;Nombre de pasajes;País;Departamento;Provincia;Distrito;Ubigeo;Nombre del personaje
LINESTRING (-76.9439426 -12.1584062, -76.94372 -12.1582869, -76.9435939 -12.1582187, -76.9435202 -12.1581872, -76.9434384 -12.1581977, -76.9434008 -12.1582161);Pasaje;Pasaje Melchorita;Perú;Lima;Lima;Villa María del Triunfo;150143;Melchora Saravia Tasayco
LINESTRING (-77.131547 -11.9381164, -77.1315859 -11.9387344, -77.1316302 -11.9392592);Pasaje;Pasaje Micaela Bastidas;Perú;Lima;Callao;Callao;70101;Micaela Bastidas Puyucahua
LINESTRING (-77.1338655 -11.8765618, -77.1332325 -11.8765093, -77.1328892 -11.8764725, -77.132739 -11.8764463, -77.1327926 -11.876357, -77.1323132 -11.8762647, -77.1319216 -11.8761939, -77.1311545 -11.8760941, -77.1310177 -11.8760705);Pasaje;Pasaje Micaela Bastidas;Perú;Lima;Callao;Ventanilla (Callao);70106;Micaela Bastidas Puyucahua
LINESTRING (-76.9986856 -12.0673536, -76.9988975 -12.0670546, -76.9991067 -12.066732, -76.9991523 -12.0666376, -76.9992569 -12.0665851, -76.9993293 -12.0665353, -76.999391 -12.066391, -76.9994151 -12.0663884);Pasaje;Pasaje Micaela Bastidas;Perú;Lima;Lima;La Victoria;150115;Micaela Bastidas Puyucahua
LINESTRING (-76.9388881 -12.1433859, -76.9382712 -12.1432666, -76.9380728 -12.143226, -76.9379869 -12.1432325, -76.9378568 -12.1432142, -76.9377884 -12.1431932, -76.9377254 -12.1431919);Pasaje;Pasaje Micaela Bastidas;Perú;Lima;Lima;Villa María del Triunfo;150143;Micaela Bastidas Puyucahua
LINESTRING (-77.1160556 -12.0458056, -77.1163346 -12.0461361, -77.1165706 -12.0464037, -77.1166886 -12.0465401, -77.1169461 -12.0467184, -77.1175684 -12.0470227, -77.1183516 -12.0474372, -77.118475 -12.0476103, -77.1184267 -12.0479408, -77.1182497 -12.0500603, -77.1180244 -12.0523476, -77.1179171 -12.0543202, -77.1177884 -12.0561878, -77.1177025 -12.0574154);Pasaje;Pasaje Micaela Villegas;Perú;Lima;Callao;Callao;70101;María Micaela Villegas y Hurtado de Mendoza
LINESTRING (-76.9680457 -12.1634171, -76.9681261 -12.1638235, -76.9682039 -12.1643295, -76.9682441 -12.1648329, -76.9682616 -12.165145, -76.9682482 -12.1655671, -76.9682133 -12.1660141);Pasaje;Pasaje Rosario del Solar;Perú;Lima;Lima;San Juan de Lurigancho;150132;Rosario del Solar
LINESTRING (-76.883103 -12.030749, -76.8835857 -12.0304971, -76.8844575 -12.0300879, -76.8854204 -12.0296603, -76.8862091 -12.02931);Pasaje;Pasaje Rosa Guerzoni;Perú;Lima;Lima;Ate;150103;Rosa Guerzoni Chambergo
LINESTRING (-76.9510729 -12.1415021, -76.9505713 -12.1419662, -76.9504667 -12.1420724);Pasaje;Pasaje Rosa Merino;Perú;Lima;Lima;Villa María del Triunfo;150143;Rosa Merino
LINESTRING (-76.9981192 -12.0419313, -76.9984692 -12.0418579);Pasaje;Pasaje Rosa Merino;Perú;Lima;Lima;El Agustino;150111;Rosa Merino
LINESTRING (-77.0809524 -12.087005, -77.0793163 -12.0878653);Pasaje;Pasaje Rebeca Carrión Cachot;Perú;Lima;Lima;San Miguel;150136;Rebeca Carrión Cachot
LINESTRING (-76.9462639 -12.2101772, -76.9455303 -12.2097498, -76.9449389 -12.2094051, -76.9357577 -12.2040755);Pasaje;Pasaje Santa Rosa;Perú;Lima;Lima;Villa El Salvador;150142;Isabel Flores de Oliva
LINESTRING (-76.9968183 -12.0102076, -76.9965554 -12.0103047, -76.9964669 -12.0103336, -76.9963006 -12.0103755, -76.9960512 -12.0104543, -76.9959627 -12.0105172, -76.9958232 -12.0107297, -76.9957052 -12.0108609, -76.9954369 -12.0109606, -76.9950829 -12.011097, -76.9948898 -12.0112019, -76.9948093 -12.0113253, -76.9947771 -12.0114144, -76.9947503 -12.0115351, -76.9947342 -12.0116532, -76.9947691 -12.0118132, -76.9948361 -12.0120257, -76.9948764 -12.0121831, -76.9948549 -12.0122828, -76.9947664 -12.0124979, -76.9947128 -12.0126554);Pasaje;Pasaje Santa Rosa;Perú;Lima;Lima;San Juan de Lurigancho;150132;Isabel Flores de Oliva
LINESTRING (-77.0918538 -12.0423767, -77.0911912 -12.0420554);Pasaje;Pasaje Santa Rosa;Perú;Lima;Callao;Carmen de La Legua (Callao);70103;Isabel Flores de Oliva
LINESTRING (-77.0376116 -11.9373556, -77.037507 -11.9369095, -77.0373809 -11.9364896, -77.0372736 -11.9363007);Pasaje;Pasaje Santa Rosa;Perú;Lima;Lima;Comas;150110;Isabel Flores de Oliva
LINESTRING (-77.0486606 -12.0261402, -77.0482368 -12.0265232, -77.0478237 -12.0268643, -77.0469869 -12.0274834, -77.0465336 -12.0278611, -77.0458174 -12.0284619, -77.0457048 -12.0283622, -77.0455921 -12.0282468, -77.0455599 -12.0282232, -77.0450959 -12.0286271);Pasaje;Pasaje Santa Rosa;Perú;Lima;Lima;San Martín de Porres;150135;Isabel Flores de Oliva
LINESTRING (-77.0386396 -12.0386466, -77.0383768 -12.0384473, -77.0382896 -12.0383581);Pasaje;Pasaje Santa Rosa;Perú;Lima;Lima;Rímac;150128;Isabel Flores de Oliva
LINESTRING (-77.0533663 -11.9885853, -77.0533536 -11.9885636, -77.0533539 -11.9885462, -77.0533649 -11.9883322, -77.053389 -11.9882181, -77.0534641 -11.9878744, -77.0534748 -11.9877878, -77.0534279 -11.9876343, -77.0533166 -11.9873273, -77.0532737 -11.9871791, -77.0532737 -11.987103, -77.0533112 -11.9869561, -77.053334 -11.9868524, -77.0533112 -11.9868183, -77.05322 -11.9867422, -77.0532012 -11.9867081);Pasaje;Pasaje Santa Rosa;Perú;Lima;Lima;Independencia;150112;Isabel Flores de Oliva
LINESTRING (-77.0625246 -11.921599, -77.0629484 -11.9213681, -77.063619 -11.9210584);Pasaje;Pasaje Santa Rosa;Perú;Lima;Lima;Comas;150110;Isabel Flores de Oliva
LINESTRING (-77.1178253 -11.9896094, -77.1177756 -11.9896658, -77.1176979 -11.9896973, -77.1176 -11.9897274, -77.117498 -11.9897983, -77.1174591 -11.989894, -77.1174484 -11.9899662, -77.1173612 -11.9900134, -77.117207 -11.9900672, -77.1171467 -11.9900921);Pasaje;Pasaje Sarita Colonia;Perú;Lima;Callao;Callao;70101;Sara Colonia Zambrano 
LINESTRING (-77.0418899 -11.9688305, -77.0416646 -11.9686468, -77.04145 -11.9684421, -77.0412569 -11.9682899, -77.0411764 -11.9682584, -77.041045 -11.968122, -77.0408036 -11.967899, -77.0406024 -11.9676628, -77.0404817 -11.9675657, -77.0401813 -11.9674582, -77.0400955 -11.9674109, -77.0399775 -11.9674004, -77.0398916 -11.9673296, -77.0395631 -11.9671472);Pasaje;Pasaje Sarita Colonia;Perú;Lima;Lima;Independencia;150112;Sara Colonia Zambrano 
LINESTRING (-77.0768567 -12.0021859, -77.0768433 -12.0020521, -77.0768004 -12.0019944, -77.0766421 -12.0018553, -77.0765295 -12.0017924, -77.0763685 -12.0017635, -77.0762505 -12.0017504, -77.0761942 -12.001774, -77.0761567 -12.0018606, -77.076052 -12.0020757, -77.075993 -12.0021308, -77.0758106 -12.0022882, -77.075698 -12.0024089);Pasaje;Pasaje Sarita Colonia;Perú;Lima;Lima;Los Olivos;150117;Sara Colonia Zambrano 
LINESTRING (-77.0209683 -12.0272617, -77.0206598 -12.0271463, -77.0205016 -12.0270755, -77.0203299 -12.027107, -77.0202307 -12.0272014, -77.019949 -12.0274716, -77.0199061 -12.0275083);Pasaje;Pasaje Sarita Colonia;Perú;Lima;Lima;San Juan de Lurigancho;150132;Sara Colonia Zambrano 
LINESTRING (-76.9572853 -12.1641874, -76.9575589 -12.1640878, -76.9581543 -12.1638597);Pasaje;Pasaje Sarita Colonia;Perú;Lima;Lima;Villa María del Triunfo;150143;Sara Colonia Zambrano 
LINESTRING (-76.9876423 -12.2074824, -76.9873016 -12.2071534);Pasaje;Pasaje Sofia;Perú;Lima;Lima;Chorrillos;150109;Sofia
LINESTRING (-77.0098171 -12.0238198, -77.0093437 -12.0233292, -77.0089414 -12.0229016, -77.008696 -12.0226406);Pasaje;Pasaje Tomasa Tito Condemayta;Perú;Lima;Lima;San Juan de Lurigancho;150132;Ana Tomasa Tito Condemayta y Hurtado de Mendoza
LINESTRING (-76.9878957 -12.2080107, -76.9882042 -12.2076987);Pasaje;Pasaje Valeria;Perú;Lima;Lima;Chorrillos;150109;Valeria
LINESTRING (-77.0850935 -12.0869077, -77.0850238 -12.0867713, -77.0849836 -12.0866874, -77.0848709 -12.0864487);Pasaje;Pasaje Virginia Candamo;Perú;Lima;Lima;San Miguel;150136;Virginia Candamo de la Puente
LINESTRING (-77.0793027 -12.0816276, -77.0792759 -12.0815227, -77.079241 -12.081368, -77.0792088 -12.0812106);Pasaje;Pasaje Zoila Cáceres;Perú;Lima;Lima;San Miguel;150136;Zoila Aurora Cáceres Moreno
